Duration,director_facebook_likes,Actor_power,IMDB,Budget,Worldwide_sales,Age_rank,FB_likes,distributor_share_percent,Theater_num,Reviews,year,id,is_rereleased,Season,worldwide_gross_income_group,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Mystery,Romance,Sci-Fi,Sport,Thriller,Music/Musical,title,re_income1,re_income2,re_income3,re_year1,re_year2,re_year3,worldwide_gross_income_group2
0.3397479778863066,0.5295218441540062,0.6395109384222796,0.6438356164383561,0.4940534566721286,0.3989771821891172,0.9411764705882352,0.3317530228885554,0.0,0.13217753414846306,3.756679610828472,2010,tt0126261,0,2,비흥행,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Desert Blue,0.0,0.0,0.0,0.0,0.0,0.0,비흥행
0.3502734144614421,0.2387569156788683,0.6365669217383757,0.0,0.8455700381661093,0.4094114672677209,0.0,0.0,0.0,0.4547619908265743,4.504555375379736,2013,tt0249516,0,4,비흥행,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Foodfight!,0.0,0.0,0.0,0.0,0.0,0.0,비흥행
0.3912492941650956,0.2627692691446544,0.5606449016817681,0.5068493150684932,0.40463858453644,0.549584179084225,0.0,0.4711898908640437,0.0,0.5450949013344952,4.785578521428744,2016,tt0295725,1,4,비흥행,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Time Changer,0.5129371944661387,0.0,0.0,2016.0,0.0,0.0,재개봉
0.6450110198781176,0.5165047237419621,0.8259481426559879,0.6301369863013697,0.7490877191892211,0.6668806819175017,0.9411764705882352,0.7994774186114058,0.0,0.6927288111198546,5.439909029729948,2012,tt0337692,0,3,비흥행,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,On the Road,0.0,0.0,0.0,0.0,0.0,0.0,비흥행
0.5649182925023308,0.0,0.6761815013920669,0.7945205479452053,0.8784294120693255,0.841570251690937,0.0,0.8741206274418606,0.7345393038817687,0.8696692113516203,6.306626905261,2013,tt0359950,0,4,일반흥행,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,I sogni segreti di Walter Mitty,0.0,0.0,0.0,0.0,0.0,0.0,일반흥행
0.5732374922647909,0.5365864636288321,0.6186980737152251,0.5616438356164384,0.7040240888003353,0.7399041802787568,0.7058823529411764,0.0,0.8743462315509903,0.7808648427595579,5.996246430859733,2010,tt0362478,1,2,비흥행,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,The Box,0.3337488297398513,0.0,0.0,2011.0,0.0,0.0,재개봉
0.5649182925023308,0.4244323392743684,0.7639458705019284,0.6849315068493151,0.7605310299124202,0.7732810278568791,0.9411764705882352,0.7534228371588289,0.0,0.8117091115286337,5.630929753571457,2014,tt0365907,0,3,비흥행,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,La preda perfetta,0.0,0.0,0.0,0.0,0.0,0.0,비흥행
0.6450110198781176,0.587449047897481,0.7163319314986241,0.7534246575342465,0.9300097892905981,0.969854737382596,0.7058823529411764,0.9338362406075832,1.0,0.9630297105284054,6.997499341211202,2015,tt0369610,1,2,최고흥행,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Jurassic World,0.3453087810739703,0.0,0.0,2020.0,0.0,0.0,재개봉
0.7259706518481335,0.0,0.6155526430834132,0.7123287671232876,0.8455700381661093,0.8005709939127218,0.7058823529411764,0.7584795945778731,0.0,0.8040264171496236,6.283147210675256,2010,tt0380510,0,4,비흥행,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,Amabili resti,0.0,0.0,0.0,0.0,0.0,0.0,비흥행
0.6450110198781176,0.0,0.8013285905576185,0.8356164383561644,0.7314824678855902,0.624294849946354,0.9411764705882352,0.7422105217850539,0.0,0.5695778363851228,5.782412468752835,2014,tt0383028,1,2,비흥행,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Synecdoche, New York",0.6262656133108838,0.0,0.0,2014.0,0.0,0.0,재개봉
0.4401083277009383,0.2696388457216287,0.6035196391348561,0.8493150684931507,0.9855504595849136,0.9089612882667272,0.0,0.8050764103438577,0.0,0.9527761061360944,6.104849186361947,2010,tt0398286,0,3,대흥행,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Rapunzel: L'intreccio della torre,0.0,0.0,0.0,0.0,0.0,0.0,대흥행
0.7045643056418265,0.6136773568313193,0.5969094794387416,0.6986301369863013,0.9869772763773572,0.8657925035550712,0.7058823529411764,0.7902488179416849,0.0,0.8890558914159891,6.566924918432841,2012,tt0401729,0,1,일반흥행,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,John Carter,0.0,0.0,0.0,0.0,0.0,0.0,일반흥행
0.3397479778863066,0.3767893684046816,0.7668494732798802,0.6712328767123288,0.715917175456078,0.7088591898600779,0.9411764705882352,0.0,0.0,0.7410016841346391,5.197854672004299,2010,tt0403702,0,4,비흥행,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,Youth in Revolt,0.0,0.0,0.0,0.0,0.0,0.0,비흥행
0.3709816717262506,0.4876748110691214,0.6501503722230645,0.5753424657534247,0.4650048946452989,0.4418113188372835,0.9411764705882352,0.0,0.0,0.4250991621044276,5.621516647691065,2010,tt0422401,0,1,비흥행,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,Hatchet,0.0,0.0,0.0,0.0,0.0,0.0,비흥행
0.3606838166402021,0.33865507208453544,0.6148138786034695,0.6027397260273972,0.6905408192030176,0.795203089994006,0.7058823529411764,0.7632296880219659,0.0,0.8429915908424427,5.6043237901970855,2012,tt0431021,0,3,비흥행,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,The Possession,0.0,0.0,0.0,0.0,0.0,0.0,비흥행
0.3074553152679891,0.0,0.8014502088917421,0.8767123287671232,0.7965461147041804,0.759424703189085,0.0,0.7534228371588289,0.8200504275633248,0.7797103609347759,5.914991318142412,2010,tt0432283,1,1,비흥행,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fantastic Mr. Fox,0.380067739990685,0.0,0.0,2020.0,0.0,0.0,재개봉
0.6677820401259242,0.5219174349612176,0.7929653598186434,0.7671232876712328,0.8986920412085686,0.8688401506516269,0.7058823529411764,0.8220180413054966,0.0,0.9047572440120052,6.089135665220919,2011,tt0433035,0,3,일반흥행,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Real Steel,0.0,0.0,0.0,0.0,0.0,0.0,일반흥행
0.420864394042018,0.3540037577768866,0.4152256514456797,0.6712328767123288,0.726555903994778,0.7653646065768843,0.9411764705882352,0.0,0.5168228843388837,0.7634379139498023,5.846691348519932,2010,tt0433362,1,1,비흥행,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Daybreakers - L'ultimo vampiro,0.3397095975068539,0.0,0.0,2011.0,0.0,0.0,재개봉
0.41109464359778203,0.5148218211304948,0.8312083132716716,0.6849315068493151,0.7490877191892211,0.7808990423669279,0.7058823529411764,0.8593862564017603,0.0,0.8484818293875455,5.726833027860843,2014,tt0435651,0,3,비흥행,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,The Giver - Il mondo di Jonas,0.0,0.0,0.0,0.0,0.0,0.0,비흥행
0.4682643377065943,0.4807521449854165,0.7807964048837766,0.9315068493150688,0.9590583513174276,0.9435217930372942,0.0,0.8077326832167313,0.0,0.9525125588990488,6.558175786418194,2010,tt0435761,0,2,최고흥행,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Toy Story 3 - La grande fuga,0.0,0.0,0.0,0.0,0.0,0.0,최고흥행
0.8263310016627634,0.9505700932187908,0.8038038212508769,0.7945205479452053,0.8455700381661093,0.8639345465395892,0.7058823529411764,0.8752320297015921,0.0,0.9068102308146871,6.5507064185120045,2013,tt0443272,0,4,일반흥행,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Lincoln,0.0,0.0,0.0,0.0,0.0,0.0,일반흥행
0.5480586963037344,0.6878008240741365,0.7484509012178808,0.821917808219178,0.8374877633867528,0.7609124830376841,0.7058823529411764,0.8220180413054966,0.6668318043622341,0.7850203473359499,6.353538925933533,2010,tt0446029,1,3,비흥행,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Scott Pilgrim vs. the World,0.0,0.0,0.0,2020.0,0.0,0.0,재개봉
0.3397479778863066,0.3895176563531843,0.6754159809516885,0.6986301369863013,0.915560248875512,0.9051227006418682,0.0,0.7584795945778731,0.0,0.94816621806457,5.460467376729807,2011,tt0448694,0,4,대흥행,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Il gatto con gli stivali,0.0,0.0,0.0,0.0,0.0,0.0,대흥행
0.6058062140990805,0.43631562044676536,0.7864736365899441,0.5890410958904109,0.7965461147041804,0.7495635218454465,0.7058823529411764,0.0,0.6668318043622341,0.7413181262630433,5.345031955353796,2010,tt0450405,0,1,비흥행,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Aiuto vampiro,0.0,0.0,0.0,0.0,0.0,0.0,비흥행
0.6752529985654516,0.5461177616138772,0.7712162551786846,0.821917808219178,0.7965461147041804,0.8029381246319137,0.7058823529411764,0.8023269161089115,0.8887627994774018,0.8246455522212016,5.588763766396493,2013,tt0453562,0,1,비흥행,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,42 - La vera storia di una leggenda americana,0.0,0.0,0.0,0.0,0.0,0.0,비흥행
0.6677820401259242,0.0,0.606759583496275,0.8767123287671232,0.9074779740961548,0.9105803142008316,0.0,0.9176474882170608,0.0,0.8795903496179398,6.640864250293598,2012,tt0454876,0,4,대흥행,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Vita di Pi,0.0,0.0,0.0,0.0,0.0,0.0,대흥행
0.4495864389170827,0.3721573998711443,0.6231633988064527,0.6849315068493151,0.726555903994778,0.7691151582938706,0.9411764705882352,0.0,0.0,0.8078061667735562,5.828784425575758,2010,tt0455407,0,1,비흥행,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,La città verrà distrutta all'alba,0.0,0.0,0.0,0.0,0.0,0.0,비흥행
0.7045643056418265,0.671031485454171,0.8345228232692082,0.7808219178082192,0.8287018304991665,0.8428665454844692,0.9411764705882352,0.8566367621668142,0.0,0.8843833796200565,6.202864256617311,2014,tt0455944,0,3,일반흥행,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,The Equalizer - Il vendicatore,0.0,0.0,0.0,0.0,0.0,0.0,일반흥행
